Tên sản phẩm,Số sao,Xuất xứ,Loại sản phẩm,Hệ thống phân phối,Từ khóa,Trang Web,Mô tả
Cá bờm trắng Hải Ninh,4,Quảng Bình,Cá biển,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Cá bờm trắng Hải Ninh, đặc sản Quảng Bình, OCOP 4 sao, OCOP Quảng Bình",,"Cá bờm trắng Hải Ninh có mùi thơm đặc trưng, vị ngọt và bảo đảm an toàn vệ sinh thực phẩm, thích hợp chế biến các món ăn, món nhậu hoặc các thực phẩm đóng hộp rất ngon. Sản phẩm đạt chứng nhận OCOP 4 sao của tỉnh Quảng Bình năm 2021."
Nước mắm Duy Trinh,4,Quảng Nam,,"https://www.duytrinh.vn/, cơ sở sản xuất, kênh bán hàng truyền thống và thương mại điện tử","nước mắm Duy Trinh, OCOP Quảng Nam, OCOP 4 sao, đặc sản Quảng Nam, nước mắm",https://www.duytrinh.vn,"Làng nghề làm nước mắm truyền thống thôn An Lương (tỉnh Quảng Nam) đã hình thành từ thế kỷ 19 và được gìn giữ, phát triển cho đến ngày nay. Trong đó, nước mắm Duy Trinh là một trong những cơ sở còn sản xuất nước mắm truyền thống với sản phẩm đạt chứng nhận OCOP 4 sao năm 2020."
Sầu riêng sấy thăng hoa Fungi,4,Cần Thơ,Sầu riêng,"https://duocthaofungi.com/, kênh bán hàng truyền thống và thương mại điện tử","Sầu riêng sấy thăng hoa Fungi, sầu riêng, OCOP Cần Thơ, OCOP 4 sao, Dược thảo Fungi",https://duocthaofungi.com/,"Sầu riêng sấy thăng hoa của Công ty Cổ phần Dược thảo Fungi được chế biến từ quả sầu riêng tươi ngon, qua công nghệ sấy thăng hoa giữ nguyên hương vị và giá trị dinh dưỡng, cung cấp năng lượng và dưỡng chất, giúp bổ sung vitamin cho cơ thể. Sản phẩm được cấp chứng nhận OCOP 4 sao của thành phố Cần Thơ năm 2023."
Nước mắm Long Tám,3,Quảng Bình,,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Nước mắm Long Tám, đặc sản Quảng Bình, OCOP Quảng Bình, OCOP 3 sao, nước mắm",,"Nước mắm Long Tám là sản phẩm nổi tiếng, xuất xứ từ xã Bảo Ninh, thành phố Đồng Hới, tỉnh Quảng Bình. Sản phẩm sở hữu hương vị đặc trưng, thơm ngon đậm đà. Đặc biệt là chiết xuất 100% tự nhiên từ cá biển tươi sống. Sản phẩm đạt chứng nhận OCOP 3 sao của tỉnh Quảng Bình."
Dưa lưới sấy thăng hoa Fungi,4,Cần Thơ,Dưa lưới,"https://duocthaofungi.com/, kênh bán hàng truyền thống và thương mại điện tử","Dưa lưới sấy thăng hoa Fungi, OCOP 4 sao, OCOP Cần Thơ, dưa lưới, Dược thảo Fungi",https://duocthaofungi.com/,"Dưa lưới sấy thăng hoa của Công ty Cổ phần Dược thảo Fungi được làm từ dưa lưới tươi ngon, được chế biến qua công nghệ sấy thăng hoa giúp giữ nguyên dinh dưỡng, hương vị và màu sắc tự nhiên; không chứa chất bảo quản hay phẩm màu. Sản phẩm được công nhận OCOP 4 sao của thành phố Cần Thơ năm 2023."
Bánh tráng phim Hạnh Tính,3,Bắc Ninh,Bánh đa nem,"Trong và ngoài tỉnh, sàn thương mại điện tử","Bánh tráng phim Hạnh Tính, Bánh tráng phim, OCOP 3 sao, OCOP Bắc Ninh, bánh đa nem",,"Bánh tráng phim Hạnh Tính dùng để cuốn chả giò, nem rán. Bánh khi chiên có màu vàng ruộm, giòn xốp kể cả khi để nguội. Sản phẩm đã được chứng nhận đạt OCOP 3 sao năm 2024 của huyện Yên Phong, tỉnh Bắc Ninh."
Tinh bột nghệ đỏ Vân Di,3,Quảng Bình,Tinh bột nghệ,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Tinh bột nghệ đỏ Vân Di, tinh bột nghệ, đặc sản Quảng Bình, OCOP 3 sao, OCOP Quảng Bình",https://www.tinhbotnghedovandi.com/,"Tinh bột nghệ đỏ Vân Di được chiết xuất từ củ nghệ tươi trồng tại Quảng Bình, thành phần chứa hoạt chất Curcumin khá cao, có tác dụng hỗ trợ điều trị bệnh viêm loét dạ dày, tốt cho sức khỏe, đem lại một làn da đẹp... Sản phẩm đạt chứng nhận OCOP 3 sao của tỉnh Quảng Bình ngày 2/4/2021."
Đông trùng hạ thảo Narasa,4,Thành phố Huế,Đông trùng hạ thảo,"https://narasa.vn/, cơ sở sản xuất, kênh bán hàng truyền thống và thương mại điện tử","đông trùng hạ thảo, đông trùng hạ thảo Narasa, OCOP Huế, OCOP 4 sao",https://narasa.vn/,"Đông trùng hạ thảo Narasa làm từ hai loại dược liệu vô cùng quý giá: Đông trùng hạ thảo và tổ yến. Đây đều là những thứ có giá trị dinh dưỡng cực kỳ cao giúp bồi dưỡng sức khỏe, đẹp da, chống lão hóa, tăng cường sức lực và là quà tặng cao cấp."
Bánh hỏi mặt võng Út Dzách,4,Cần Thơ,Bánh,,"Bánh hỏi mặt võng Út Dzách, bánh hỏi, OCOP Cần Thơ, OCOP 4 sao, đặc sản Cần Thơ",,"Bánh hỏi mặt võng có vị ngọt, mặn, miếng bánh trong, dai và không dùng chất phụ gia, ăn cùng với thịt nướng kim tiền nóng hổi, ít rau sống thơm nồng chấm với nước chấm. Vị ngọt thơm tự nhiên của bánh hỏi hòa quyện cùng vị đậm đà của thịt nướng đem đến cho thực khách cảm nhận được vị béo vừa phải mà không ngán. Sản phẩm đã được thành phố Cần Thơ cấp chứng nhận OCOP 4 sao năm 2023."
Cháo tổ yến rong biển hương vị thịt bằm,3,Bình Dương,Thực phẩm chế biến,"https://congtytruongtho.com/, cơ sở sản xuất, kênh bán hàng truyền thống và thương mại điện tử","Cháo tổ yến rong biển hương vị thịt bằm, OCOP BÌnh Dương, OCOP 4 sao, cháo, Ngũ cốc Trường Thọ",https://congtytruongtho.com/,"Cháo tổ yến rong biển hương vị thịt bằm ngon từ nguyên liệu tự nhiên, khi chín hương vị cháo đậm đà, kích thích vị giác, phù hợp khẩu vị của đa số người tiêu dùng. Sản phẩm của Công ty TNHH Ngũ cốc Trường Thọ được công nhận OCOP 3 sao năm 2024."
Vang Bạch Mã,4,Thành phố Huế,Rượu vang,"Website cơ sở sản xuất, các kênh bán lẻ và sàn thương mại điện tử","Vang Bạch Mã, Vang Bạch Mã đỏ, rượu vang, OCOP Huế, OCOP 4 sao",https://vanghue.vn/,"Vang Bạch Mã đỏ Vang Bạch Mã đỏ có vị chua hài hòa, thanh mát. Thay vì sử dụng trái nho làm thành phần chính như những chai rượu vang đỏ khác có mặt trên thị trường thì vang đỏ Bạch mã lại tận dụng trái vả - đặc sản của Huế. Sản phẩm đã được công nhận OCOP 4 sao của thành phố Huế."
Sữa chua sấy thăng hoa,4,Cần Thơ,Sữa chua,"https://duocthaofungi.com/, kênh bán hàng truyền thống và thương mại điện tử","sữa chua sấy, OCOP Cần Thơ, OCOP 4 sao, Dược thảo Fungi",https://duocthaofungi.com/,"Sữa chua sấy thăng hoa của Công ty Cổ phần Dược thảo Fungi được chế biến từ sữa bò tươi, men Streptococcus thermophilus, lactobacillus bulgaricus, enzym lactase. Đây là món ăn vặt bổ dưỡng, giàu năng lượng và dưỡng chất, an toàn tuyệt đối, không chứa chất bảo quản, không phụ gia, không hương liệu. Sản phẩm được công nhận OCOP 4 sao của thành phố Cần Thơ năm 2023."
Bánh mè xát Tân An,3,Quảng Bình,Bánh,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Bánh mè xát Tân An, đặc sản Quảng Bình, OCOP 3 sao, OCOP Quảng Bình",,"Bánh mè xát Tân An được làm từ những nguyên liệu chọn lọc kỹ lưỡng, tạo nên những chiếc bánh có vị kết hợp hài hòa giữa mùi thơm của gạo và vị bùi ngậy của hạt mè. Sản phẩm đã được công nhận OCOP 3 sao của tỉnh Quảng Bình."
Khoai gieo Hải Ninh Linh Huệ,3,Quảng Bình,Khoai,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","đặc sản Quảng Bình, OCOP 3 sao, OCOP Quảng Bình, khoai gieo Hải Ninh Linh Huệ, khoai gieo",,"Khoai gieo Hải Ninh của Công ty TNHH Linh Huệ là đặc sản Quảng Bình ngon, ngọt, mềm, dai dẻo không bị cứng đơ. Khi thưởng thức, bạn sẽ thấy độ dẻo cùng vị ngọt lan tỏa trong cổ họng. Sản phẩm đạt chứng nhận OCOP 3 sao của tỉnh Quảng Bình."
Chuối già,3,Bình Dương,Chuối,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","chuối già, OCOP Bình Dương, OCOP 3 sao, đặc sản Bình Dương",,"Chuối già có hương vị thơm ngon mà còn cung cấp nhiều chất dinh dưỡng, tốt cho sức khỏe. Sản phẩm chuối già của Công ty TNHH An Điền đã được tỉnh Bình Dương công nhận OCOP 3 sao."
Chimax lẩu Thái,3,Bắc Ninh,Gia vị,"Trong và ngoài tỉnh, sàn thương mại điện tử, vnttfoods.com.vn","Chimax lẩu thái, OCOP 3 sao, OCOP Bắc Ninh, gia vị lẩu Thái",vnttfoods.com.vn,"Chimax lẩu Thái với thành phần: nước hầm xương heo, chiết xuất rau củ quả tươi, sả, riềng, ớt, lá chanh, hành tây, cà chua phối trộn cùng các loại gia vị đặc trưng tạo nên hương vị chua chua, cay cay chuẩn vị lẩu Thái. Sản phẩm đã được công nhận OCOP 3 sao năm 2023 của UBND huyện Thuận Thành, tỉnh Bắc Ninh."
Cháo tổ yến rong biển thịt bằm,3,Bình Dương,Thực phẩm chế biến,https://kmsvina.com/,"Cháo tổ yến rong biển thịt bằm, cháo, OCOP Bình Dương, OCOP 3 sao, tổ yến",https://kmsvina.com/,"Cháo tổ yến rong biển thịt bằm được làm từ các nguyên liệu tự nhiên, không chất bảo quản, an toàn cho sức khỏe. Cháo có bổ sung yến dinh dưỡng, vị rong biển, thịt bằm thơm ngon. Sản phẩm đã được công nhận OCOP 3 sao năm 2023."
Rượu vắt nếp nương,4,Bình Dương,Rượu,http://ruou1908.com.vn/,"Rượu vắt nếp nương, OCOP Bình Dương, OCOP 4 sao",http://ruou1908.com.vn/,"Rượu vắt nếp nương 1908, được sử dụng hoàn toàn từ nguyên liệu địa phương, với thành phần gồm 100% rượu gạo nguyên chất và nếp. Sản phẩm đạt tiêu chuẩn chất lượng cao, bảo đảm uống không đau đầu. Sản phẩm đã được cấp chứng nhận OCOP 4 sao của tỉnh Bình Dương."
Chimax dấm gạo nếp,3,Bắc Ninh,Dấm gạo,"Trong và ngoài tỉnh, sàn thương mại điện tử","Chimax dấm gạo nếp, dấm gạo nếp, OCOP 3 sao, OCOP Bắc Ninh, đặc sản Bắc Ninh",vnttfoods.com.vn,"Chimax dấm gạo nếp được sản xuất lên men từ gạo nếp thơm theo phương pháp cổ truyền, hương thơm tự nhiên và vị chua ngọt dịu. Sản phẩm đã được chứng nhận đạt OCOP 3 sao năm 2023 của UBND huyện Thuận Thành, tỉnh Bắc Ninh."
Chimax tương ớt,3,Bắc Ninh,Gia vị,"Trong và ngoài tỉnh, sàn thương mại điện tử","Chimax tương ớt, tương ớt, OCOP 3 sao, OCOP Bắc Ninh, đặc sản Bắc Ninh",https://vnttfoods.com.vn/,"Chimax tương ớt được sản xuất từ những trái ớt tươi và tỏi tươi nguyên chất, không sử dụng bột cay và hương tỏi nhân tạo, có vị thơm cay tự nhiên cho món ăn thêm đậm đà. Sản phẩm đã được chứng nhận đạt OCOP 3 sao năm 2023 của UBND huyện Thuận Thành, tỉnh Bắc Ninh."
Rau sạch An Nông,3,Quảng Bình,Rau xanh,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Rau sạch An Nông, đặc sản Quảng Bình, OCOP 3 sao, OCOP Quảng Bình",http://rausachannong.vn/,"Rau sạch An Nông được trồng theo tiêu chuẩn VietGAP với mong muốn mang đến tận tay người tiêu dùng những sản phẩm nông nghiệp vừa thơm ngon, thuần tự nhiên, vừa an toàn đối với sức khỏe người dùng. Sản phẩm đạt chứng nhận OCOP 3 sao của tỉnh Quảng Bình."
Gạo tươi nguyên cám Song Đàm,3,Bình Dương,,,"Gạo tươi nguyên cám Song Đàm, OCOP Bình Dương, OCOP 3 sao, gạo tươi",,"Gạo nguyên cám có chứa nhiều chất xơ, các vitamin như: B1, B2, B3, B5, B6, B9, khoáng vi lượng gồm: canxi, sắt, kẽm, magie, kali, photpho, mangan. Ăn gạo nguyên cám sẽ cảm thấy no lâu hơn vì vậy nhiều người chọn ăn sản phẩm để hỗ trợ giảm cân; thích hợp với những người bị tiểu đường đặc biệt đối với trẻ nhỏ thì gạo nguyên cám là nguồn dinh dưỡng giúp các bé ăn ngon, ngủ ngon và phát triển trí tuệ một cách hoàn thiện. Sản phẩm Gạo tươi nguyên cám Song Đàm được tỉnh Bình Dương cấp chứng nhận OCOP 3 sao năm 2024."
Vú sữa bơ hồng,4,Cần Thơ,Vú sữa,,"OCOP 4 sao, OCOP Cần Thơ, đặc sản Cần Thơ, vú sữa, vú sữa bơ hồng",,"Vú sữa bơ hồng màu sữa trắng, vị ngọt thanh và thơm mùi bơ sữa. Sản phẩm giàu vitamin C và chất chống oxy hóa, giàu khoáng chất, chất xơ. Vú sữa bơ hồng của Hợp tác xã Vườn cây ăn trái Trường Khương A được công nhận OCOP 4 sao năm 2023."
Dầu gội đầu bồ kết-hà thủ ô,4,Bắc Ninh,Dầu gội thảo dược,"Trong và ngoài tỉnh, sàn thương mại điện tử, https://duoclieuvietket.com","Dầu gội đầu bồ kết-hà thủ ô, Dầu gội đầu, OCOP 4 sao, OCOP Bắc Ninh, Việt Kết",https://duoclieuvietket.com,"Dầu gội đầu bồ kết-hà thủ ô được làm từ bồ kết, hà thủ ô, me rừng, hương nhu, hương thảo, hoắc hương, có công dụng làm sạch gàu và bụi bẩn trên tóc, nuôi dưỡng từ chân tóc tới ngọn tóc chắc khỏe. Sản phẩm đã được chứng nhận đạt OCOP 4 sao năm 2024 của tỉnh Bắc Ninh."
Nem Bùi Tuấn Liên,4,Bắc Ninh,Nem,"Trong và ngoài tỉnh, sàn thương mại điện tử","Nem Bùi Tuấn Liên, Nem Bùi, OCOP 4 sao, OCOP Bắc Ninh",,"Nem Bùi Tuấn Liên là sự kết hợp vị bùi, chát của lá sung, lá đinh lăng với vị béo của thịt và mỡ, giòn sần sật của bì cùng mùi thơm của thính tạo nên những hương vị đặc trưng được nhiều người yêu thích. Sản phẩm đã được chứng nhận đạt OCOP 4 sao năm 2024 của tỉnh Bắc Ninh."
Tỏi sạch Quảng Minh,3,Quảng Bình,Tỏi,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Tỏi sạch Quảng Minh, đặc sản Quảng Bình, OCOP Quảng Bình, OCOP 3 sao",,"Tỏi Quảng Minh nổi tiếng bởi độ sạch vì được trồng theo quy trình được kiểm tra nghiêm ngặt. Từ khâu thu hoạch đến sơ chế đều được chú trọng nên tỏi cung ứng đến người tiêu dùng đều là những củ tỏi to, chắc và thơm ngon. Sản phẩm đã đạt chứng nhận OCOP 3 sao của tỉnh Quảng Bình."
Nem tai Tuấn Liên,4,Bắc Ninh,Nem,"Trong và ngoài tỉnh, sàn thương mại điện tử","Nem tai Tuấn Liên, Nem tai, OCOP 4 sao, OCOP Bắc Ninh",,"Nem tai Tuấn Liên được làm từ tai heo giòn sật, thính gạo thơm lừng, cùng gia vị đặc trưng, khi ăn kèm với rau sống, lá chanh, lá sung sẽ tăng thêm độ ngon miệng. Sản phẩm đã được chứng nhận đạt OCOP 4 sao năm 2024 của tỉnh Bắc Ninh."
